year,state,type,energySrc,amount,region
2006,AK,Total Electric Power Industry,Coal,617419,West
2006,AK,Total Electric Power Industry,Hydroelectric Conventional,1223607,West
2006,AK,Total Electric Power Industry,Natural Gas,4057730,West
2006,AK,Total Electric Power Industry,Other Biomass,6149,West
2006,AK,Total Electric Power Industry,Petroleum,767988,West
2006,AK,Total Electric Power Industry,Wind,788,West
2006,AK,Total Electric Power Industry,Wood and Wood Derived Fuels,516,West
2006,AK,"Electric Generators, Electric Utilities",Total,6068520,West
2006,AK,"Electric Generators, Electric Utilities",Coal,209952,West
2006,AK,"Electric Generators, Electric Utilities",Hydroelectric Conventional,1223607,West
2006,AK,"Electric Generators, Electric Utilities",Natural Gas,3939921,West
2006,AK,"Electric Generators, Electric Utilities",Petroleum,694252,West
2006,AK,"Electric Generators, Electric Utilities",Wind,788,West
2006,AK,"Combined Heat and Power, Industrial Power",Total,187760,West
2006,AK,"Combined Heat and Power, Industrial Power",Natural Gas,117809,West
2006,AK,"Combined Heat and Power, Industrial Power",Other Biomass,6149,West
2006,AK,"Combined Heat and Power, Industrial Power",Petroleum,63802,West
2006,AK,"Combined Heat and Power, Electric Power",Total,187376,West
2006,AK,"Combined Heat and Power, Electric Power",Coal,187376,West
2006,AK,"Combined Heat and Power, Commercial Power",Total,230541,West
2006,AK,"Combined Heat and Power, Commercial Power",Coal,220091,West
2006,AK,"Combined Heat and Power, Commercial Power",Petroleum,9934,West
2006,AK,"Combined Heat and Power, Commercial Power",Wood and Wood Derived Fuels,516,West
2007,AK,Total Electric Power Industry,Total,6821392,West
2007,AK,Total Electric Power Industry,Coal,641409,West
2007,AK,Total Electric Power Industry,Hydroelectric Conventional,1291223,West
2007,AK,Total Electric Power Industry,Natural Gas,3867539,West
2007,AK,Total Electric Power Industry,Other Biomass,10196,West
2007,AK,Total Electric Power Industry,Petroleum,1009990,West
2007,AK,Total Electric Power Industry,Wind,1012,West
2007,AK,Total Electric Power Industry,Wood and Wood Derived Fuels,22,West
2007,AK,"Electric Generators, Independent Power Producers",Total,80133,West
2007,AK,"Electric Generators, Independent Power Producers",Petroleum,79121,West
2007,AK,"Electric Generators, Independent Power Producers",Wind,1012,West
2007,AK,"Electric Generators, Electric Utilities",Total,6146078,West
2007,AK,"Electric Generators, Electric Utilities",Coal,213648,West
2007,AK,"Electric Generators, Electric Utilities",Hydroelectric Conventional,1291223,West
2007,AK,"Electric Generators, Electric Utilities",Natural Gas,3788325,West
2007,AK,"Electric Generators, Electric Utilities",Petroleum,852882,West
2007,AK,"Combined Heat and Power, Industrial Power",Total,147405,West
2007,AK,"Combined Heat and Power, Industrial Power",Natural Gas,78778,West
2007,AK,"Combined Heat and Power, Industrial Power",Other Biomass,10196,West
2007,AK,"Combined Heat and Power, Industrial Power",Petroleum,58431,West
2007,AK,"Combined Heat and Power, Electric Power",Total,210155,West
2007,AK,"Combined Heat and Power, Electric Power",Coal,199914,West
2007,AK,"Combined Heat and Power, Electric Power",Petroleum,10241,West
2007,AK,"Combined Heat and Power, Commercial Power",Total,237621,West
2007,AK,"Combined Heat and Power, Commercial Power",Coal,227848,West
2007,AK,"Combined Heat and Power, Commercial Power",Natural Gas,437,West
2007,AK,"Combined Heat and Power, Commercial Power",Petroleum,9315,West
2007,AK,"Combined Heat and Power, Commercial Power",Wood and Wood Derived Fuels,22,West
2008,AK,Total Electric Power Industry,Total,6774834,West
2008,AK,Total Electric Power Industry,Coal,617897,West
2008,AK,Total Electric Power Industry,Hydroelectric Conventional,1171801,West
2008,AK,Total Electric Power Industry,Natural Gas,4002472,West
2008,AK,Total Electric Power Industry,Other,0,West
2008,AK,Total Electric Power Industry,Other Biomass,4682,West
2008,AK,Total Electric Power Industry,Petroleum,977915,West
2008,AK,Total Electric Power Industry,Wind,68,West
2008,AK,Total Electric Power Industry,Wood and Wood Derived Fuels,0,West
2008,AK,"Electric Generators, Electric Utilities",Total,6262148,West
2008,AK,"Electric Generators, Electric Utilities",Coal,220360,West
2008,AK,"Electric Generators, Electric Utilities",Hydroelectric Conventional,1171801,West
2008,AK,"Electric Generators, Electric Utilities",Natural Gas,3942237,West
2008,AK,"Electric Generators, Electric Utilities",Other,0,West
2008,AK,"Electric Generators, Electric Utilities",Petroleum,927681,West
2008,AK,"Electric Generators, Electric Utilities",Wind,68,West
2008,AK,"Combined Heat and Power, Industrial Power",Total,110483,West
2008,AK,"Combined Heat and Power, Industrial Power",Natural Gas,60235,West
2008,AK,"Combined Heat and Power, Industrial Power",Other Biomass,4682,West
2008,AK,"Combined Heat and Power, Industrial Power",Petroleum,45566,West
