year,state,type,energySrc,amount,region
1999,AK,"combined Heat and Power, Electric Power",Coal,226377,west
1999,AK,"combined Heat and Power, Electric Power",Petroleum,598,west
1999,AK,"combined Heat and Power, Commercial Power",Total,152551,west
1999,AK,"combined Heat and Power, Commercial Power",Coal,140804,west
1999,AK,"combined Heat and Power, Commercial Power",Petroleum,11747,west
2000,AK,Total Electric Power Industry,Total,6156525,west
2000,AK,Total Electric Power Industry,Coal,538673,west
2000,AK,Total Electric Power Industry,Hydroelectric Conventional,1001819,west
2000,AK,Total Electric Power Industry,Natural Gas,3975832,west
2000,AK,Total Electric Power Industry,Petroleum,640201,west
2000,AK,Total Electric Power Industry,Wind,0,west
2000,AK,"Electric Generators, Electric Utilities",Total,4937687,west
2000,AK,"Electric Generators, Electric Utilities",Coal,184901,west
2000,AK,"Electric Generators, Electric Utilities",Hydroelectric Conventional,1001819,west
2000,AK,"Electric Generators, Electric Utilities",Natural Gas,3193954,west
2000,AK,"Electric Generators, Electric Utilities",Petroleum,557013,west
2000,AK,"Electric Generators, Electric Utilities",Wind,0,west
2000,AK,"combined Heat and Power, Industrial Power",Total,848205,west
2000,AK,"combined Heat and Power, Industrial Power",Natural Gas,781878,west
2000,AK,"combined Heat and Power, Industrial Power",Petroleum,66327,west
2000,AK,"combined Heat and Power, Electric Power",Total,223962,west
2000,AK,"combined Heat and Power, Electric Power",Coal,223138,west
2000,AK,"combined Heat and Power, Electric Power",Petroleum,824,west
2000,AK,"combined Heat and Power, Commercial Power",Total,146671,west
2000,AK,"combined Heat and Power, Commercial Power",Coal,130634,west
2000,AK,"combined Heat and Power, Commercial Power",Petroleum,16037,west
2001,AK,Total Electric Power Industry,Total,6743766,west
2001,AK,Total Electric Power Industry,Coal,564593,west
2001,AK,Total Electric Power Industry,Hydroelectric Conventional,1345665,west
2001,AK,Total Electric Power Industry,Natural Gas,3895569,west
2001,AK,Total Electric Power Industry,Petroleum,936989,west
2001,AK,Total Electric Power Industry,Wind,950,west
2001,AK,"Electric Generators, Electric Utilities",Total,5416191,west
2001,AK,"Electric Generators, Electric Utilities",Coal,194008,west
2001,AK,"Electric Generators, Electric Utilities",Hydroelectric Conventional,1345665,west
2001,AK,"Electric Generators, Electric Utilities",Natural Gas,3027807,west
2001,AK,"Electric Generators, Electric Utilities",Petroleum,847761,west
2001,AK,"Electric Generators, Electric Utilities",Wind,950,west
2001,AK,"combined Heat and Power, Industrial Power",Total,936915,west
2001,AK,"combined Heat and Power, Industrial Power",Natural Gas,867762,west
2001,AK,"combined Heat and Power, Industrial Power",Petroleum,69153,west
2001,AK,"combined Heat and Power, Electric Power",Total,237305,west
2001,AK,"combined Heat and Power, Electric Power",Coal,233975,west
2001,AK,"combined Heat and Power, Electric Power",Petroleum,3330,west
2001,AK,"combined Heat and Power, Commercial Power",Total,153355,west
2001,AK,"combined Heat and Power, Commercial Power",Coal,136610,west
2001,AK,"combined Heat and Power, Commercial Power",Petroleum,16745,west
2002,AK,Total Electric Power Industry,Total,6767325,west
2002,AK,Total Electric Power Industry,Coal,575288,west
2002,AK,Total Electric Power Industry,Hydroelectric Conventional,1439351,west
2002,AK,Total Electric Power Industry,Natural Gas,3778162,west
2002,AK,Total Electric Power Industry,Other Biomass,11124,west
2002,AK,Total Electric Power Industry,Petroleum,962369,west
2002,AK,Total Electric Power Industry,Wood and Wood Derived Fuels,1031,west
2002,AK,"Electric Generators, Independent Power Producers",Total,0,west
2002,AK,"Electric Generators, Independent Power Producers",Natural Gas,0,west
2002,AK,"Electric Generators, Electric Utilities",Total,5471990,west
2002,AK,"Electric Generators, Electric Utilities",Coal,204490,west
2002,AK,"Electric Generators, Electric Utilities",Hydroelectric Conventional,1439351,west
2002,AK,"Electric Generators, Electric Utilities",Natural Gas,2952996,west
2002,AK,"Electric Generators, Electric Utilities",Petroleum,875153,west
2002,AK,"combined Heat and Power, Industrial Power",Total,895356,west
2002,AK,"combined Heat and Power, Industrial Power",Natural Gas,825166,west
2002,AK,"combined Heat and Power, Industrial Power",Other Biomass,11124,west
2002,AK,"combined Heat and Power, Industrial Power",Petroleum,59066,west
2002,AK,"combined Heat and Power, Electric Power",Total,243668,west
2002,AK,"combined Heat and Power, Electric Power",Coal,240932,west
2002,AK,"combined Heat and Power, Electric Power",Petroleum,1705,west
2002,AK,"combined Heat and Power, Electric Power",Wood and Wood Derived Fuels,1031,west
2002,AK,"combined Heat and Power, Commercial Power",Total,156311,west
2002,AK,"combined Heat and Power, Commercial Power",Coal,129866,west
2002,AK,"combined Heat and Power, Commercial Power",Petroleum,26445,west
2003,AK,Total Electric Power Industry,Total,6338732,west
2003,AK,Total Electric Power Industry,Coal,549664,west
